,player_height,player_name,team_conference,team_name,player_height_in
328,6-3,Andrien White,Conference USA,Charlotte,75
329,6-3,Jon Davis,Conference USA,Charlotte,75
330,6-1,Gavin Wilson,Conference USA,Charlotte,73
331,6-3,Curran Scott,Conference USA,Charlotte,75
332,6-4,Anthony Vanhook,Conference USA,Charlotte,76
333,6-9,Cameron Blakley,Conference USA,Charlotte,81
334,6-9,Cameron Blakley,Conference USA,Charlotte,81
335,6-8,Bernard Sullivan,Conference USA,Charlotte,80
336,6-6,Reid Aube,Conference USA,Charlotte,78
337,6-3,Mitch Warner,Conference USA,Charlotte,75
338,7-0,Benas Griciunas,Conference USA,Charlotte,84
339,6-1,Cameron Pappas,Conference USA,Charlotte,73
340,6-7,Ivan Benkovic,Conference USA,Charlotte,79
341,6-3,Warren Gillis,Big South Conference,Coast Carolina,75
342,6-9,Kevin Holmes Jr.,Big South Conference,Coast Carolina,81
343,6-0,Aaron Law,Big South Conference,Coast Carolina,72
344,6-1,Josh Cameron,Big South Conference,Coast Carolina,73
345,6-3,Christian Adams,Big South Conference,Coast Carolina,75
346,6-1,Jaylen Shaw,Big South Conference,Coast Carolina,73
347,5-11,Shivaughn Wiggins,Big South Conference,Coast Carolina,71
348,6-5,Michel Enanga,Big South Conference,Coast Carolina,77
349,6-7,Tristian Curtis,Big South Conference,Coast Carolina,79
350,6-4,Elijah Wilson,Big South Conference,Coast Carolina,76
351,6-7,Badou Diagne,Big South Conference,Coast Carolina,79
352,6-5,Colton Ray-St Cyr,Big South Conference,Coast Carolina,77
353,6-5,Colton Ray-St Cyr,Big South Conference,Coast Carolina,77
354,6-9,Josh Coleman,Big South Conference,Coast Carolina,81
355,6-4,Ron Trapps,Big South Conference,Coast Carolina,76
356,6-8,Marcus Freeman,Big South Conference,Coast Carolina,80
357,6-10,Kyle Buffkin,Big South Conference,Coast Carolina,82
358,6-3,Codi Miller-McIntyre,Atlantic Coast Conference,Wake Forest,75
359,6-1,Madison Jones,Atlantic Coast Conference,Wake Forest,73
360,6-9,Devin Thomas,Atlantic Coast Conference,Wake Forest,81
361,7-1,Doral Moore,Atlantic Coast Conference,Wake Forest,85
362,6-2,Mitchell Wilbekin,Atlantic Coast Conference,Wake Forest,74
363,6-7,Greg McClinton,Atlantic Coast Conference,Wake Forest,79
364,6-3,Bryant Crawford,Atlantic Coast Conference,Wake Forest,75
365,6-10,John Collins,Atlantic Coast Conference,Wake Forest,82
366,6-3,Rondale Watson,Atlantic Coast Conference,Wake Forest,75
367,6-6,Cornelius Hudson,Atlantic Coast Conference,Wake Forest,78
368,6-3,Keyshawn Woods,Atlantic Coast Conference,Wake Forest,75
369,7-0,Andre Washington,Atlantic Coast Conference,Wake Forest,84
370,6-8,Aaron Rountree III,Atlantic Coast Conference,Wake Forest,80
371,6-1,Stephen Prendergast,Atlantic Coast Conference,Wake Forest,73
372,6-2,Anthony Bilas,Atlantic Coast Conference,Wake Forest,74
373,6-4,Gilbert McGregor,Atlantic Coast Conference,Wake Forest,76
374,6-3,Trent VanHorn,Atlantic Coast Conference,Wake Forest,75
375,6-10,Konstantinos Mitoglou,Atlantic Coast Conference,Wake Forest,82
376,6-7,Troy Rike,Atlantic Coast Conference,Wake Forest,79
377,6-7,Grant O'Brien,Atlantic Coast Conference,Wake Forest,79
378,6-4,Britton Anderson,Atlantic Coast Conference,Wake Forest,76
379,6-7,Jimmy Marshall,Colonial Athletic Association,Northeastern,79
380,6-6,David Walker,Colonial Athletic Association,Northeastern,78
381,6-3,T.J. Williams,Colonial Athletic Association,Northeastern,75
382,6-8,Quincy Ford,Colonial Athletic Association,Northeastern,80
383,6-1,Caleb Donnelly,Colonial Athletic Association,Northeastern,73
384,6-4,Devon Begley,Colonial Athletic Association,Northeastern,76
385,6-2,C.J. Hill,Colonial Athletic Association,Northeastern,74
386,6-3,Alex Jordan,Colonial Athletic Association,Northeastern,75
387,6-5,Zach Stahl,Colonial Athletic Association,Northeastern,77
388,6-8,Kwesi Abakah,Colonial Athletic Association,Northeastern,80
389,6-4,Richard Lee,Ohio Valley - West,UT Martin,76
390,6-8,Fatodd Lewis,Ohio Valley - West,UT Martin,80
391,6-0,Jacolby Mobley,Ohio Valley - West,UT Martin,72
392,5-11,Alex Anderson,Ohio Valley - West,UT Martin,71
393,6-5,Kedar Edwards,Ohio Valley - West,UT Martin,77
394,6-7,Chandler Rowe,Ohio Valley - West,UT Martin,79
395,6-3,Terrence Durham,Ohio Valley - West,UT Martin,75
396,6-1,Malik Pugh,Ohio Valley - West,UT Martin,73
397,6-8,Malik London,Ohio Valley - West,UT Martin,80
398,6-7,Javier Martinez,Ohio Valley - West,UT Martin,79
399,6-6,Twymond Howard,Ohio Valley - West,UT Martin,78
400,6-7,Myles Taylor,Ohio Valley - West,UT Martin,79
401,6-5,James Harrison,Ohio Valley - West,UT Martin,77
402,5-10,Jalen Variste,Ohio Valley - West,UT Martin,70
403,7-2,Nick Detlev,Ohio Valley - West,UT Martin,86
404,6-6,Isaiah Still,Northeast Conference,Robert Morris,78
405,6-4,Steven Whitley,Northeast Conference,Robert Morris,76
406,6-1,Kavon Stewart,Northeast Conference,Robert Morris,73
407,5-8,Anthony Pugh,Northeast Conference,Robert Morris,68
408,6-8,Elijah Minnie,Northeast Conference,Robert Morris,80
409,6-2,Jordan Lester,Northeast Conference,Robert Morris,74
410,6-5,Rodney Pryor,Northeast Conference,Robert Morris,77
